kpi_metric_id,task_id,resource_ids,task_weight,resource_weight
8,31,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.3390405713707559,"[0.0621919147670269, 0.038363903760910034, 0.08548838645219803, 0.022088095545768738, 0.04832116514444351, 0.016141783446073532, 0.056737884879112244, 0.05284159258008003, 0.09826183319091797, 0.05675847455859184, 0.021693449467420578, 0.06574682146310806, 0.02375733107328415, 0.029189646244049072, 0.05338543280959129, 0.04617151618003845, 0.04264351725578308, 0.057146407663822174, 0.06498336791992188, 0.07420210540294647]"
8,32,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.3468799636406235,"[0.03654615581035614, 0.06180773302912712, 0.0734097957611084, 0.030845481902360916, 0.03692341223359108, 0.01990560255944729, 0.08828218281269073, 0.09122808277606964, 0.010479726828634739, 0.058464374393224716, 0.05619640275835991, 0.03674386441707611, 0.04193854331970215, 0.021369071677327156, 0.10567598044872284, 0.03674286976456642, 0.06276930868625641, 0.07858305424451828, 0.04712524637579918, 0.04915755242109299]"
9,33,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.1851944940782892,"[0.05488932132720947, 0.053556691855192184, 0.022584466263651848, 0.06790647655725479, 0.08056830614805222, 0.025932975113391876, 0.026287483051419258, 0.01575000025331974, 0.0640474483370781, 0.028242573142051697, 0.07407748699188232, 0.07493606209754944, 0.042711615562438965, 0.03350762277841568, 0.06099776551127434, 0.03531414270401001, 0.06936077028512955, 0.07557869702577591, 0.04405980184674263, 0.06919386982917786]"
9,34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.3404661519527653,"[0.07172282040119171, 0.047272689640522, 0.05108857527375221, 0.037112005054950714, 0.056901250034570694, 0.03275557979941368, 0.010113236494362354, 0.017808888107538223, 0.07522168010473251, 0.06058711186051369, 0.06821674853563309, 0.03740846738219261, 0.06284552812576294, 0.05062416195869446, 0.057756006717681885, 0.05774475261569023, 0.05286131054162979, 0.04255015403032303, 0.07553672045469284, 0.048561327159404755]"
9,35,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.1682416811882384,"[0.04830494895577431, 0.010998208075761795, 0.03772503882646561, 0.04366162791848183, 0.022018838673830032, 0.06862547993659973, 0.03937365114688873, 0.07278206944465637, 0.06438850611448288, 0.050689950585365295, 0.06155814975500107, 0.06887150555849075, 0.009008780121803284, 0.054997675120830536, 0.07404230535030365, 0.09102672338485718, 0.04096820950508118, 0.0477883405983448, 0.057369109243154526, 0.07104495167732239]"
9,36,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.306097672780707,"[0.061408042907714844, 0.030779916793107986, 0.0036007848102599382, 0.051573075354099274, 0.08977966010570526, 0.027090851217508316, 0.04730607196688652, 0.06719572842121124, 0.07132434844970703, 0.0036726756952703, 0.056484077125787735, 0.07839587330818176, 0.030102811753749847, 0.05192622169852257, 0.05542479455471039, 0.07908102869987488, 0.08219362050294876, 0.0538998618721962, 0.08166273683309555, 0.011252669617533684]"
10,37,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.1628424062130259,"[0.09910757839679718, 0.05782943218946457, 0.035021740943193436, 0.02174266055226326, 0.026416905224323273, 0.01005907915532589, 0.060241080820560455, 0.014246424660086632, 0.03734906017780304, 0.037172820419073105, 0.09149975329637527, 0.04199856519699097, 0.06400185823440552, 0.06638909131288528, 0.05086314678192139, 0.0872168093919754, 0.06530237942934036, 0.05000150576233864, 0.06775595247745514, 0.08950485289096832]"
10,38,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.2406389491264751,"[0.03996596857905388, 0.04915035516023636, 0.06981147825717926, 0.04446893185377121, 0.04596109688282013, 0.06717675924301147, 0.046539708971977234, 0.03257559612393379, 0.10965028405189514, 0.0792960524559021, 0.03804171830415726, 0.026498600840568542, 0.03537263721227646, 0.036719392985105515, 0.03899041935801506, 0.0663134753704071, 0.07628423720598221, 0.058807484805583954, 0.03465899080038071, 0.009086130186915398]"
10,39,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.3005413436777845,"[0.07498463243246078, 0.01723000779747963, 0.05666375905275345, 0.061386942863464355, 0.05797331780195236, 0.011706480756402016, 0.08721454441547394, 0.04577011242508888, 0.023418886587023735, 0.024930812418460846, 0.036956753581762314, 0.038075998425483704, 0.01911158859729767, 0.06843207031488419, 0.04693429544568062, 0.0963716059923172, 0.07702477276325226, 0.08754543960094452, 0.046751968562603, 0.041162699460983276]"
10,40,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",0.2959773009827144,"[0.037535659968853, 0.03094565123319626, 0.028607215732336044, 0.05646102502942085, 0.06302899122238159, 0.07063011825084686, 0.03601501137018204, 0.0506131574511528, 0.04369056597352028, 0.044670023024082184, 0.0744379311800003, 0.04252326861023903, 0.06270276755094528, 0.07496640086174011, 0.0657474622130394, 0.07393544167280197, 0.012143740430474281, 0.05605524778366089, 0.02662491984665394, 0.07544811069965363]"
